#SOD  LONEST    LATEST         ALTEST       CLKEST     GGTO   SOL NSVVIS NSV HPE     VPE      EPE     NPE     UPE    HDOP    VDOP    PDOP   
00000    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00010    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00020    0.00000    0.00000          0.000     0.000     0.000   0  13   0   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000 
00850 -115.79784    4.77572    1339754.835     1.031    -5.350   1  16  16   0.166   0.893  -0.161  -0.040   0.893   0.677   1.149   1.334 
00860 -115.62163    4.28564    1339738.888     1.063    -5.511   1  16  16   0.146   0.873  -0.133  -0.060   0.873   0.680   1.145   1.331 
00870 -115.44571    3.79549    1339725.616     1.032    -5.448   1  16  16   0.146   0.863  -0.141  -0.037   0.863   0.683   1.141   1.329 
00880 -115.27003    3.30528    1339715.057     1.055    -5.499   1  16  16   0.185   0.892  -0.185  -0.014   0.892   0.686   1.138   1.329 
00890 -115.09456    2.81501    1339707.178     1.089    -5.548   1  16  16   0.176   0.923  -0.176  -0.018   0.923   0.689   1.133   1.326 
00900 -114.91927    2.32471    1339701.831     1.003    -5.465   1  15  15   0.130   0.802  -0.130  -0.001   0.802   0.700   1.190   1.381 
00910 -114.74414    1.83436    1339699.325     1.016    -5.419   1  15  15   0.159   0.835  -0.159   0.016   0.835   0.703   1.186   1.378 
00920 -114.56912    1.34399    1339699.425     0.983    -5.424   1  15  15   0.163   0.782  -0.162   0.011   0.782   0.706   1.184   1.379 
00930 -114.39419    0.85360    1339702.259     0.966    -5.396   1  15  15   0.166   0.770  -0.163   0.028   0.770   0.709   1.178   1.375 
00940 -114.21931    0.36320    1339707.816     0.979    -5.425   1  15  15   0.199   0.786  -0.198   0.016   0.786   0.713   1.175   1.375 
00950 -114.04446   -0.12721    1339716.010     0.946    -5.384   1  15  15   0.220   0.746  -0.216   0.039   0.746   0.716   1.170   1.372 
00960 -113.86960   -0.61761    1339726.921     0.936    -5.334   1  15  15   0.214   0.727  -0.210   0.041   0.727   0.720   1.168   1.372 
00970 -113.69470   -1.10801    1339740.567     0.946    -5.333   1  15  15   0.214   0.752  -0.210   0.042   0.752   0.723   1.164   1.370 
00980 -113.51973   -1.59838    1339756.870     0.972    -5.444   1  15  15   0.198   0.743  -0.195   0.036   0.743   0.727   1.159   1.368 
00990 -113.34465   -2.08873    1339775.839     0.926    -5.311   1  15  15   0.186   0.714  -0.185   0.021   0.714   0.730   1.156   1.367 
01000 -113.16945   -2.57905    1339797.407     0.784    -5.068   1  15  14   0.144   0.603  -0.140   0.034   0.603   0.753   1.164   1.386 
01010 -112.99408   -3.06932    1339821.787     0.798    -5.105   1  15  14   0.115   0.626  -0.113   0.020   0.626   0.757   1.161   1.386 
01020 -112.81851   -3.55954    1339848.745     0.715    -4.995   1  15  14   0.124   0.557  -0.124   0.005   0.557   0.761   1.157   1.385 
01030 -112.64271   -4.04970    1339878.375     0.620    -4.797   1  16  14   0.155   0.499  -0.154   0.018   0.499   0.764   1.153   1.383 
01040 -112.46665   -4.53980    1339910.693     0.594    -4.754   1  17  14   0.145   0.472  -0.145   0.016   0.472   0.768   1.150   1.383 
01050 -112.29031   -5.02982    1339945.684     0.567    -4.640   1  17  14   0.138   0.473  -0.137   0.011   0.473   0.773   1.144   1.381 
